iter	Logloss
0	0.6742676854
1	0.6581342272
2	0.6395376485
3	0.629756002
4	0.6193862913
5	0.606486115
6	0.5958746997
7	0.5857094027
8	0.5755904101
9	0.5684977601
10	0.5633433006
11	0.5592797998
12	0.5530198334
13	0.5467653448
14	0.5433993369
15	0.5393196408
16	0.5358318034
17	0.5315392334
18	0.5277686829
19	0.5263653137
20	0.523951504
21	0.5217430891
22	0.5196494633
23	0.5178586552
24	0.516233981
25	0.5146538899
26	0.512462836
27	0.5111743584
28	0.5093362099
29	0.5088171791
30	0.5084014351
31	0.50794809
32	0.5076122188
33	0.5071161386
34	0.5064169562
35	0.5056733483
36	0.5047045862
37	0.5038574023
38	0.5031913896
39	0.5025894219
40	0.5018792882
41	0.5016075342
42	0.5011596995
43	0.5004602887
44	0.4996091543
45	0.4993018739
46	0.4989207495
47	0.4985615469
48	0.4978795396
49	0.4975292648
50	0.4972100411
51	0.4968189827
52	0.4964499654
53	0.4959808235
54	0.4955569386
55	0.4952808609
56	0.4950708214
57	0.4947936919
58	0.4946758395
59	0.4943976767
60	0.4941512878
61	0.4937672231
62	0.4934217005
63	0.493159395
64	0.4929827461
65	0.4925775378
66	0.4924265514
67	0.4921568321
68	0.4919556436
69	0.4918301263
70	0.4916958551
71	0.4913684414
72	0.4910437249
73	0.490796805
74	0.4907075405
75	0.4904781222
76	0.4903014459
77	0.4901324267
78	0.4900400381
79	0.4897371435
80	0.4894915936
81	0.489260893
82	0.4889689255
83	0.4887891622
84	0.4885355975
85	0.4883239799
86	0.4880937743
87	0.4878101746
88	0.4872875837
89	0.4871953281
90	0.4868214944
91	0.4866290714
92	0.4861644001
93	0.4860262887
94	0.4856487182
95	0.485413252
96	0.4851206784
97	0.4850721013
98	0.4846652923
99	0.4845253044
100	0.4842315158
101	0.4840401092
102	0.4837176085
103	0.4833517847
104	0.4832621195
105	0.48317401
106	0.4829714113
107	0.4827135427
108	0.4826112799
109	0.4821462196
110	0.4816326204
111	0.4815065137
112	0.4812543655
113	0.4808287673
114	0.4805909936
115	0.4805246637
116	0.4804834644
117	0.4801427368
118	0.4800034953
119	0.4797938473
120	0.4795340767
121	0.4794191283
122	0.4792020554
123	0.4787677523
124	0.4787578496
125	0.4785943057
126	0.478186361
127	0.4778402424
128	0.4772776708
129	0.4769214936
130	0.4765392387
131	0.4763636042
132	0.4761477252
133	0.4757993764
134	0.4756143703
135	0.4755489553
136	0.4750224331
137	0.4747524741
138	0.4743183761
139	0.4742715463
140	0.4740742192
141	0.4738301533
142	0.4737080296
143	0.4734871983
144	0.4733935275
145	0.4730277692
146	0.4727631618
147	0.4723076907
148	0.4719630525
149	0.4717230269
150	0.4714071884
151	0.4711444457
152	0.4709188104
153	0.4707269515
154	0.4702613765
155	0.4699749825
156	0.4696090538
157	0.4694724576
158	0.4692514685
159	0.4688486739
160	0.4687200006
161	0.4684485069
162	0.4683646982
163	0.4681494013
164	0.4678792021
165	0.4675655301
166	0.4673467921
167	0.4670513031
168	0.4670109064
169	0.466619573
170	0.4663379909
171	0.4661015232
172	0.4658523791
173	0.4658128492
174	0.4655937185
175	0.4650722096
176	0.4650496959
177	0.4648691761
178	0.4647697494
179	0.4646856994
180	0.4644957021
181	0.4642490321
182	0.463969094
183	0.4636294331
184	0.4631969492
185	0.4624788142
186	0.4622937337
187	0.4622585847
188	0.4619273302
189	0.4614736917
190	0.4611112466
191	0.4606966466
192	0.4606749452
193	0.4604439737
194	0.4601797264
195	0.4601521489
196	0.4599843009
197	0.4596216122
198	0.4595354569
199	0.4590245432
200	0.4588369337
201	0.4585317577
202	0.458340794
203	0.4579824245
204	0.4577595092
205	0.4577217686
206	0.4573671197
207	0.4571778934
208	0.4567587886
209	0.4564012375
210	0.4560269337
211	0.455763017
212	0.4555051257
213	0.4551753317
214	0.4546053377
215	0.4542790252
216	0.4541060869
217	0.4537230325
218	0.4532682907
219	0.4527856654
220	0.4525749414
221	0.4522415884
222	0.4520447215
223	0.451759025
224	0.4514160751
225	0.4512520111
226	0.4509384588
227	0.4506438153
228	0.4504916682
229	0.4501215864
230	0.4499246487
231	0.4498815177
232	0.449726677
233	0.4493865568
234	0.4488821741
235	0.4484442223
236	0.4482642787
237	0.4479988954
238	0.4474329335
239	0.4471439912
240	0.4466824936
241	0.4464945655
242	0.4461419614
243	0.4457807011
244	0.4457552454
245	0.4454741732
246	0.4452842989
247	0.4450589154
248	0.4449556912
249	0.4447044772
250	0.4442815044
251	0.4441901328
252	0.4439837266
253	0.4436739046
254	0.4434631212
255	0.4433714138
256	0.4433058654
257	0.4432906811
258	0.443269711
259	0.4428541961
260	0.4422360889
261	0.4419720998
262	0.4419357375
263	0.4414923945
264	0.4414716029
265	0.4414543833
266	0.4410095304
267	0.4406520914
268	0.4405155934
269	0.4402219736
270	0.4400601101
271	0.4400512072
272	0.4400317472
273	0.4398654221
274	0.4395818513
275	0.4393100191
276	0.4390101634
277	0.4387955294
278	0.4385211345
279	0.4383308207
280	0.4380243229
281	0.4376493003
282	0.4373792764
283	0.4371451046
284	0.4371125592
285	0.4370858689
286	0.4368107184
287	0.4364084694
288	0.4361125263
289	0.4361011333
290	0.4360901418
291	0.4358607401
292	0.4355475373
293	0.4355328715
294	0.4355022062
295	0.4352610071
296	0.4349720008
297	0.4348693972
298	0.4346952463
299	0.434017034
300	0.4339557843
301	0.4337788157
302	0.4335899961
303	0.4334338051
304	0.4330099439
305	0.4325681766
306	0.4323697573
307	0.4320720106
308	0.4319679961
309	0.4315343723
310	0.4312405453
311	0.4309149804
312	0.4308735053
313	0.4303164694
314	0.4300816907
315	0.4295520301
316	0.4291772073
317	0.4287212963
318	0.4285734127
319	0.4284158377
320	0.4282118099
321	0.4278533561
322	0.4278420042
323	0.4275946607
324	0.4273629277
325	0.4268980879
326	0.4267525747
327	0.4264327517
328	0.4264106637
329	0.4262248221
330	0.4261294771
331	0.4259819915
332	0.4257825551
333	0.4257119119
334	0.4256271041
335	0.4254959918
336	0.4252459605
337	0.4249880575
338	0.4249307509
339	0.4248692747
340	0.4246885363
341	0.4243342389
342	0.4242170381
343	0.4241177796
344	0.4238576038
345	0.423586482
346	0.423286729
347	0.4232700291
348	0.4232466139
349	0.4230255962
350	0.4229434467
351	0.4226666405
352	0.4225029764
353	0.4223623819
354	0.4218848587
355	0.4218274902
356	0.4216837715
357	0.4216496704
358	0.4213737584
359	0.4212131091
360	0.4209714057
361	0.420765784
362	0.4205213367
363	0.4202297005
364	0.4199646408
365	0.4198669803
366	0.4197321322
367	0.419541089
368	0.4192872944
369	0.4189836866
370	0.418593652
371	0.418376867
372	0.4180561623
373	0.4180414473
374	0.4180218295
375	0.4180073364
376	0.4179829921
377	0.4178366526
378	0.4175137503
379	0.4172586719
380	0.416871909
381	0.4166471596
382	0.4165080376
383	0.4161817353
384	0.416167314
385	0.4157650601
386	0.4154360351
387	0.4151934816
388	0.4149229933
389	0.414392584
390	0.4139871283
391	0.4135487754
392	0.4135264846
393	0.4133178158
394	0.4129353376
395	0.4126363332
396	0.4124657815
397	0.4123225123
398	0.4120178504
399	0.4118823668
400	0.411640416
401	0.4114805109
402	0.4110973068
403	0.4109527706
404	0.4106389073
405	0.4105808217
406	0.4103800454
407	0.4101285184
408	0.409924494
409	0.4098401852
410	0.4097294008
411	0.4096340364
412	0.4095343013
413	0.4095260888
414	0.4092865476
415	0.4091178666
416	0.4087745917
417	0.4086928903
418	0.408607443
419	0.4083715057
420	0.4081001737
421	0.4080953739
422	0.4077975627
423	0.407701664
424	0.4075477941
425	0.4074396699
426	0.4070990461
427	0.4069725356
428	0.4066709107
429	0.4066438619
430	0.4063914086
431	0.4060889551
432	0.40575503
433	0.4055680921
434	0.4053110524
435	0.4051016372
436	0.4047394001
437	0.404489233
438	0.4042144822
439	0.4038996316
440	0.4035825598
441	0.4033573769
442	0.4029291753
443	0.4028416335
444	0.402584672
445	0.4024095968
446	0.4021124414
447	0.4020200188
448	0.4017586069
449	0.4016426757
450	0.4016242
451	0.4014411009
452	0.4011582763
453	0.4010558909
454	0.4010487502
455	0.4009795181
456	0.4008188535
457	0.4007558525
458	0.4005965894
459	0.400482619
460	0.4003528157
461	0.3999931914
462	0.3996707664
463	0.3994351486
464	0.3990612948
465	0.3986247455
466	0.3983239535
467	0.3982041773
468	0.3980403413
469	0.3977160507
470	0.3974455516
471	0.3972368119
472	0.3969482721
473	0.396720645
474	0.3962621463
475	0.3959944828
476	0.3955139487
477	0.3953284032
478	0.3952778049
479	0.3951450117
480	0.3949359007
481	0.3947648832
482	0.3945798049
483	0.39447481
484	0.3941334142
485	0.3937759049
486	0.3936389452
487	0.3934652854
488	0.3931941801
489	0.392923504
490	0.3929096369
491	0.3925397517
492	0.3924126766
493	0.3923223891
494	0.3920692271
495	0.3917841239
496	0.3914686381
497	0.3911526994
498	0.3908217028
499	0.390600924
500	0.3904001857
501	0.390297473
502	0.3899948689
503	0.3896689724
504	0.3891824144
505	0.3890624437
506	0.3888532622
507	0.3886392032
508	0.3884803259
509	0.3884690612
510	0.3884343235
511	0.3882718791
512	0.3880654085
513	0.3878362929
514	0.3877020449
515	0.3876423128
516	0.3873739743
517	0.3871625456
518	0.3869462269
519	0.386945608
520	0.3866737917
521	0.3863977289
522	0.3861689748
523	0.3860834467
524	0.385912685
525	0.3856262182
526	0.3853660474
527	0.3850785863
528	0.3848274341
529	0.3847084974
530	0.3846340022
531	0.3843799011
532	0.3842613044
533	0.3839545818
534	0.3838284934
535	0.3835977539
536	0.3833781673
537	0.3831379671
538	0.3830872396
539	0.3828504429
540	0.3827505678
541	0.3824059031
542	0.3823370259
543	0.3819611359
544	0.381837617
545	0.3815817436
546	0.3815630402
547	0.3815135998
548	0.3813012054
549	0.3810590913
550	0.3809199635
551	0.3806544122
552	0.3804563861
553	0.3803208718
554	0.3800581613
555	0.3798515322
556	0.3796513513
557	0.3793849709
558	0.3792905682
559	0.3791579014
560	0.3788556739
561	0.3785843022
562	0.3784702295
563	0.3782417914
564	0.3781427368
565	0.3778634604
566	0.3776689411
567	0.3776290788
568	0.3776160711
569	0.3773523928
570	0.3771639999
571	0.3770863268
572	0.3769568318
573	0.376539664
574	0.376428865
575	0.3762349154
576	0.3761243677
577	0.3760136961
578	0.3758317288
579	0.3756868117
580	0.3754214658
581	0.3752463427
582	0.3752373136
583	0.3750953166
584	0.375024025
585	0.3747996754
586	0.3745064692
587	0.3745009976
588	0.3742863342
589	0.3740225497
590	0.3738458315
591	0.3737281984
592	0.3735628442
593	0.3733624549
594	0.3733560904
595	0.3732611739
596	0.3732425352
597	0.3731013373
598	0.3727917332
599	0.3725938442
